text,sentiment,source
This wholesome meme made my heart warm ❤️,Positive,generated_positive
What should I watch on TV? 📺,Neutral,generated_neutral
How is everyone doing today?,Neutral,generated_neutral
Such a beautiful message of love! 🥰,Positive,generated_positive
Dying of laughter! This is perfect! 😭😂,Positive,generated_positive
I'm so mad about this! Disgusting! 🤮,Negative,generated_negative
This wholesome meme made my heart warm ❤️,Positive,generated_positive
"Today is Thursday, nothing special",Neutral,generated_neutral
Absolutely brilliant meme! Well done! 👏,Positive,generated_positive
Repulsive! This is terrible! Gross! 😝,Negative,generated_negative
Blessed to see such wholesome content! 🙏,Positive,generated_positive
❤️💕💖😍🥰,Positive,emoji_context
Dreams do come true! So happy right now! ⭐,Positive,generated_positive
This is just a regular meme post,Neutral,generated_neutral
🤮🤢😷💀☠️,Negative,emoji_context
Feeling down and out after this 😔,Negative,generated_negative
Absolute banger! This goes hard! 🎵,Positive,slang_context
This is so gross and disturbing! Yuck!,Negative,generated_negative
🔥💯⭐✨🌟,Positive,emoji_context
Victory tastes so sweet! Well deserved! 🏆,Positive,generated_positive
When everything goes perfectly! Amazing! ✨,Positive,generated_positive
What's happening in the news? 📰,Neutral,generated_neutral
I wonder what's for lunch today?,Neutral,generated_neutral
Here's some content for your timeline,Neutral,generated_neutral
This sad content destroyed my mood 😞,Negative,generated_negative
Coffee is a popular morning beverage ☕,Neutral,generated_neutral
This is comedy gold right here!,Positive,generated_positive
When you succeed after trying so hard! YES! 🙌,Positive,generated_positive
just... existing... here... today...,Neutral,mixed_context
just... existing... here... today...,Neutral,mixed_context
meh... could be better... or worse...,Neutral,mixed_context
Living my best life right now! 🌈,Positive,generated_positive
This hits different! Chef's kiss! 👌,Positive,slang_context
Cringe content alert! Hard pass,Negative,slang_context
This loving energy is everything! 💕,Positive,generated_positive
What's the weather like outside? 🌤️,Neutral,generated_neutral
Love wins! This meme proves it! 💝,Positive,generated_positive
Coffee is a popular morning beverage ☕,Neutral,generated_neutral
Cars have four wheels typically,Neutral,generated_neutral
This makes my stomach turn! Horrible! 🤮,Negative,generated_negative
Poor quality content! Not good! 👎,Negative,generated_negative
Hard work pays off! Feeling amazing! 💪,Positive,generated_positive
It's Wednesday my dudes! 🐸,Neutral,generated_neutral
Which option should I choose?,Neutral,generated_neutral
Finally achieved my goal! Celebrating! 🎉,Positive,generated_positive
Achievement unlocked! Feeling proud! 🏅,Positive,generated_positive
Which option should I choose?,Neutral,generated_neutral
This is why I love the internet! 😂,Positive,generated_positive
Wholesome content like this makes me smile 😊,Positive,generated_positive
📅⏰🗓️📋📝,Neutral,emoji_context
This is pathetic and disappointing! Ugh!,Negative,generated_negative
I'm so frustrated with this nonsense! 🤬,Negative,generated_negative
This meme is absolutely hilarious! 😂😂😂,Positive,generated_positive
Here's some content for your timeline,Neutral,generated_neutral
Computers process digital information,Neutral,generated_neutral
absolutely terrible... hate this...,Negative,mixed_context
Revolting content! I hate this! 😷,Negative,generated_negative
Victory tastes so sweet! Well deserved! 🏆,Positive,generated_positive
Love wins! This meme proves it! 💝,Positive,generated_positive
Best! Thing! Ever! Amazing!,Positive,mixed_context
🔥💯⭐✨🌟,Positive,emoji_context
When you succeed after trying so hard! YES! 🙌,Positive,generated_positive
Revolting content! I hate this! 😷,Negative,generated_negative
How was your day today?,Neutral,generated_neutral
Computers process digital information,Neutral,generated_neutral
Dying of laughter! This is perfect! 😭😂,Positive,generated_positive
There are 24 hours in a day,Neutral,generated_neutral
What are you thinking about? 🤔,Neutral,generated_neutral
This meme shows so much love! Beautiful! 💖,Positive,generated_positive
Expected better! This is awful! Bad!,Negative,generated_negative
This is pathetic and disappointing! Ugh!,Negative,generated_negative
Finally achieved my goal! Celebrating! 🎉,Positive,generated_positive
"Today is Thursday, nothing special",Neutral,generated_neutral
This terrible content ruins my day! Bad!,Negative,generated_negative
Where did I put my keys? 🗝️,Neutral,generated_neutral
Coffee is a popular morning beverage ☕,Neutral,generated_neutral
This depressing post ruined my day 😟,Negative,generated_negative
😰😨😱😖😣,Negative,emoji_context
Just another Tuesday mood,Neutral,slang_context
🧐🤨😯😮😊,Neutral,emoji_context
Revolting content! I hate this! 😷,Negative,generated_negative
Some random thoughts about things,Neutral,generated_neutral
Another Monday morning routine,Neutral,generated_neutral
This is so poorly done! Disappointing! 👎,Negative,generated_negative
When everything goes perfectly! Amazing! ✨,Positive,generated_positive
Best! Thing! Ever! Amazing!,Positive,mixed_context
This restored my faith in humanity!,Positive,generated_positive
This is absolutely terrible! Worst ever! 😠,Negative,generated_negative
Sickening content! This is bad! 🤢,Negative,generated_negative
This makes me so sad and depressed 😭,Negative,generated_negative
This sad content destroyed my mood 😞,Negative,generated_negative
What's the weather like outside? 🌤️,Neutral,generated_neutral
Pure comedy genius! Love it! ⭐,Positive,generated_positive
💔😿😾🙄😒,Negative,emoji_context
😰😨😱😖😣,Negative,emoji_context
Why does everything make me cry? 😿,Negative,generated_negative
😰😨😱😖😣,Negative,emoji_context
This wholesome meme made my heart warm ❤️,Positive,generated_positive
What should I watch on TV? 📺,Neutral,generated_neutral
This is so pure and beautiful! Love it!,Positive,generated_positive
😎😋😜🤗😇,Positive,emoji_context
This made me cry real tears 😭,Negative,generated_negative
It's Wednesday my dudes! 🐸,Neutral,generated_neutral
Eww! This makes me sick! Terrible! 🤢,Negative,generated_negative
Feeling all the love from this post! 💗,Positive,generated_positive
This exists in the internet space,Neutral,generated_neutral
This radiates pure love and joy! 💞,Positive,generated_positive
Such a disappointing and bad meme! Terrible!,Negative,generated_negative
I'm so frustrated with this nonsense! 🤬,Negative,generated_negative
Food provides energy for humans,Neutral,generated_neutral
Heart melting from this sweet content! 💘,Positive,generated_positive
Standard social media post here,Neutral,generated_neutral
just... existing... here... today...,Neutral,mixed_context
🌍🌙⭐🌤️⛅,Neutral,emoji_context
This fails on every level! Bad!,Negative,generated_negative
Badly done! This is disappointing! Ugh!,Negative,generated_negative
Poor quality content! Not good! 👎,Negative,generated_negative
Heart melting from this sweet content! 💘,Positive,generated_positive
What's the weather like outside? 🌤️,Neutral,generated_neutral
meh... could be better... or worse...,Neutral,mixed_context
Best meme I've seen all week! 💯,Positive,generated_positive
Victory tastes so sweet! Well deserved! 🏆,Positive,generated_positive
absolutely terrible... hate this...,Negative,mixed_context
Weekend preparation mode,Neutral,generated_neutral
This wholesome meme made my heart warm ❤️,Positive,generated_positive
This radiates pure love and joy! 💞,Positive,generated_positive
Here's some content for your timeline,Neutral,generated_neutral
Sickening content! This is bad! 🤢,Negative,generated_negative
This is happening right now,Neutral,generated_neutral
Computers process digital information,Neutral,generated_neutral
Pure comedy genius! Love it! ⭐,Positive,generated_positive
The sky appears blue during daytime,Neutral,generated_neutral
Achievement unlocked! Feeling proud! 🏅,Positive,generated_positive
This win feels incredible! Celebrating! 🎊,Positive,generated_positive
Weekend preparation mode,Neutral,generated_neutral
This restored my faith in humanity!,Positive,generated_positive
This win feels incredible! Celebrating! 🎊,Positive,generated_positive
Bruh this slaps! No cap! 💯,Positive,slang_context
💔😿😾🙄😒,Negative,emoji_context
This is comedy gold right here!,Positive,generated_positive
Dreams do come true! So happy right now! ⭐,Positive,generated_positive
🤮🤢😷💀☠️,Negative,emoji_context
Heart melting from this sweet content! 💘,Positive,generated_positive
Finally achieved my goal! Celebrating! 🎉,Positive,generated_positive
🤔😐😑🙂😶,Neutral,emoji_context
Best meme I've seen all week! 💯,Positive,generated_positive
This disgusting post is awful! Hate it!,Negative,generated_negative
Midweek energy check,Neutral,generated_neutral
Achievement unlocked! Feeling proud! 🏅,Positive,generated_positive
Heart melting from this sweet content! 💘,Positive,generated_positive
It's Wednesday my dudes! 🐸,Neutral,generated_neutral
Cars have four wheels typically,Neutral,generated_neutral
This makes my stomach turn! Horrible! 🤮,Negative,generated_negative
Terrible execution! Very disappointing! 😒,Negative,generated_negative
Food provides energy for humans,Neutral,generated_neutral
This is absolutely disgusting! Gross! 🤮,Negative,generated_negative
Love this positive energy! Amazing! 💟,Positive,generated_positive
Another Monday morning routine,Neutral,generated_neutral
This loving energy is everything! 💕,Positive,generated_positive
Heartwarming meme! Thanks for sharing! 💕,Positive,generated_positive
Revolting content! I hate this! 😷,Negative,generated_negative
This makes me so sad and depressed 😭,Negative,generated_negative
LMAO this made my day! So funny!,Positive,generated_positive
Computers process digital information,Neutral,generated_neutral
😭😢😞😔😟,Negative,emoji_context
This meme is absolutely hilarious! 😂😂😂,Positive,generated_positive
Feeling down and out after this 😔,Negative,generated_negative
So much sadness in this meme 😢,Negative,generated_negative
